"Date","Date","Min°C","Avg°C","Max°C","Avg1.5m DP°C","Avg1.5m RH%","Avg1.5m LWu.","AvgDir","Avg Speedm/s","2m MaxGustm/s","5 cm°C","Min°C","Avg°C","AvgSoilVWC%","TotPrecmm","TotalSolarRadMJ/m²","ETomm","ETrmm","Avg2m Atm.PresshPa"
"2000/04/01","1","6.5","15.6","25.8","3.8","47.8","0.00","SW","1.6","0.0","NA","11.3","12.6","NA","0.00","19.24","3.93","5.41","NA"
"2000/04/02","2","4.6","14.8","23.6","3.7","50.1","0.09","S","0.8","0.0","NA","12.2","13.7","NA","0.00","21.70","3.21","3.96","NA"
"2000/04/03","3","2.5","14.8","23.9","5.9","58.7","NA","S","0.9","0.0","NA","12.9","14.4","NA","0.00","20.74","3.05","3.69","NA"
"2000/04/04","4","2.6","13.0","21.9","3.3","54.3","0.36","W","3.1","0.0","NA","13.6","14.7","NA","0.00","17.48","3.95","5.70","NA"
"2000/04/05","5","-1.0","7.4","12.5","-1.7","55.0","0.00","SW","1.1","0.0","NA","12.3","13.2","NA","0.00","14.33","1.99","2.51","NA"
"2000/04/06","6","2.8","9.4","13.4","-0.5","51.4","0.00","S","2.1","0.0","NA","12.2","12.8","NA","0.00","10.51","2.32","3.25","NA"
"2000/04/07","7","-1.4","8.7","16.7","-2.2","51.0","NA","SE","0.9","0.0","NA","10.9","12.3","NA","0.00","22.86","2.80","3.43","NA"
"2000/04/08","8","0.0","11.3","21.0","-0.3","49.2","NA","S","1.4","0.0","NA","11.6","13.0","NA","0.00","20.68","3.39","4.50","NA"
"2000/04/09","9","3.7","14.4","23.4","4.0","52.0","0.00","SW","1.8","0.0","NA","12.6","14.0","NA","0.00","22.66","3.97","5.27","NA"
"2000/04/10","10","5.3","14.0","23.9","3.5","54.2","NA","S","1.0","0.0","NA","13.8","15.1","NA","0.00","23.36","3.69","4.60","NA"
"2000/04/11","11","4.3","15.3","24.3","4.1","51.2","NA","SE","0.8","0.0","NA","14.3","15.7","NA","0.00","21.18","3.32","4.04","NA"
"2000/04/12","12","8.4","19.2","27.6","6.9","48.1","0.41","SW","1.4","0.0","NA","15.7","16.9","NA","0.00","19.28","3.96","5.17","NA"
"2000/04/13","13","9.9","14.2","18.8","9.9","75.7","NA","SW","2.6","0.0","NA","15.6","17.3","NA","0.25","6.16","1.90","2.66","NA"
"2000/04/14","14","10.3","13.4","18.5","6.1","63.3","0.00","SW","4.7","0.0","NA","14.8","15.3","NA","0.00","12.66","3.77","5.55","NA"
"2000/04/15","15","9.9","13.3","18.0","5.4","60.2","NA","SW","2.6","0.0","NA","14.6","15.2","NA","0.00","14.13","3.30","4.58","NA"
"2000/04/16","16","8.0","12.8","18.5","7.7","73.2","NA","SE","1.0","0.0","NA","14.8","15.6","NA","1.02","17.14","2.66","3.09","NA"
"2000/04/17","17","5.2","14.0","20.4","7.4","67.4","NA","S","1.7","0.0","NA","14.6","15.8","NA","0.51","19.58","3.14","3.86","NA"
"2000/04/18","18","8.0","16.6","24.9","6.7","55.7","NA","SW","1.7","0.0","NA","15.8","17.0","NA","0.00","21.11","4.12","5.36","NA"
"2000/04/19","19","6.3","14.5","22.0","2.0","46.9","0.00","SW","1.5","0.0","NA","16.7","18.0","NA","0.00","25.21","4.18","5.34","NA"
"2000/04/20","20","6.3","14.5","22.1","5.3","56.7","0.50","S","1.1","0.0","NA","16.9","18.2","NA","0.00","21.21","3.49","4.26","NA"
"2000/04/21","21","4.7","16.8","26.2","6.0","53.3","NA","SW","1.4","0.0","NA","17.1","18.6","NA","0.00","23.98","4.24","5.35","NA"
"2000/04/22","22","3.6","13.9","19.2","0.2","43.2","0.01","W","2.7","0.0","NA","18.5","19.6","NA","0.00","25.24","4.54","6.21","NA"
"2000/04/23","23","4.2","10.4","17.7","-0.2","51.2","0.16","W","2.4","0.0","NA","17.7","18.8","NA","0.00","21.65","3.84","5.21","NA"
"2000/04/24","24","0.5","9.5","15.7","-6.3","36.4","0.00","SE","1.7","0.0","NA","16.4","17.9","NA","0.00","24.57","3.64","4.78","NA"
